# Dialogue ID	Turn Index	User Utterance	System Response	attraction-area	attraction-name	attraction-type	bus-day	bus-departure	bus-destination	bus-leaveAt	hospital-department	hotel-area	hotel-book day	hotel-book people	hotel-book stay	hotel-internet	hotel-name	hotel-parking	hotel-price range	hotel-stars	hotel-type	restaurant-area	restaurant-book day	restaurant-book people	restaurant-book time	restaurant-food	restaurant-name	restaurant-price range	taxi-arrive by	taxi-departure	taxi-destination	taxi-leave at	train-arrive by	train-book people	train-day	train-departure	train-destination	train-leave at	
SNG01548	0	I need to get to a hospital .		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG01548	1	Can i get the postcode and phone number as well ?	Oh no ! The address is Hills Rd , Cambridge .	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG01548	2	Thanks . That takes care of all my needs now .	Telephone  :  01223245151  Address  :  Hills Rd , Cambridge  Postcode  :  CB20QQ	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL0226	0	Can you help me find a restaurant ?		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL0226	1	I would love some North American food !	It would be my pleasure . What type of food are you in the mood for ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	north american	none	none	none	none	none	none	none	none	none	none	none	none
PMUL0226	2	Yes , just myself at 11:45 on monday please .	We have one option , the gourmet burger kitchen , they are in the centre area and the pricing is expensive , can I book you ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	monday	1	11:45	north american	gourmet burger kitchen	none	none	none	none	none	none	none	none	none	none	none
PMUL0226	3	Thanks so much .  Can you help me find a place to stay in that area as well ?	I have made that reservation and your reference number is 0X0N3WV0 .	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	monday	1	11:45	north american	gourmet burger kitchen	none	none	none	none	none	none	none	none	none	none	none
PMUL0226	4	The south please .	What area are you looking to stay in ?	none	none	none	none	none	none	none	none	south	none	none	none	none	none	none	none	none	none	none	monday	1	11:45	north american	gourmet burger kitchen	none	none	none	none	none	none	none	none	none	none	none
PMUL0226	5	The price does n't matter and I do n't need free parking . I 'd prefer a guesthouse .	There are a number of options .  Did you have a price range in mind ?	none	none	none	none	none	none	none	none	south	none	none	none	none	none	do not care	do not care	none	guest house	none	monday	1	11:45	north american	gourmet burger kitchen	none	none	none	none	none	none	none	none	none	none	none
PMUL0226	6	Not yet , do they have internet ? And what is their postcode ?	I recommend the aylesbray lodge guest house , it is in the moderate price range and four stars . It 's on 5 mowbray road , cb17sr . Would you like me to make a bookin gfor you ?	none	none	none	none	none	none	none	none	south	none	none	none	yes	aylesbray lodge guest house	none	none	none	guest house	none	monday	1	11:45	north american	gourmet burger kitchen	none	none	none	none	none	none	none	none	none	none	none
PMUL0226	7	I also need a taxi . It should leave the guesthouse and arrive at the restaurant by 11:45 please . Please include the contact number and car type .	Yes they have internet and their postcode is cb17sr . Is there anything else I can help you with ?	none	none	none	none	none	none	none	none	south	none	none	none	none	aylesbray lodge guest house	none	none	none	guest house	none	monday	1	11:45	north american	gourmet burger kitchen	none	11:45	aylesbray lodge guest house	gourmet burger kitchen	none	none	none	none	none	none	none
PMUL0226	8	I am leaving from the restaurant .	Can you please give me the name of your departure and name of your desination ?	none	none	none	none	none	none	none	none	south	none	none	none	none	aylesbray lodge guest house	none	none	none	guest house	none	monday	1	11:45	north american	gourmet burger kitchen	none	11:45	aylesbray lodge guest house	gourmet burger kitchen	none	none	none	none	none	none	none
PMUL0226	9	I am leaving from the aylesbray lodge guest house to get to the gourmet burger kitchen by my reservation at 11:45 . Please book .	Just to be clear , do you want to be picked up at the gourmet burger kitchen , or is that your destination ?	none	none	none	none	none	none	none	none	south	none	none	none	none	aylesbray lodge guest house	none	none	none	guest house	none	monday	1	11:45	north american	gourmet burger kitchen	none	11:45	aylesbray lodge guest house	gourmet burger kitchen	none	none	none	none	none	none	none
PMUL0226	10	I am leaving from the aylesbray lodge guest house to get to the gourmet burger kitchen by my reservation at 11:45 . Please book	I also need to know when you want to leave .	none	none	none	none	none	none	none	none	south	none	none	none	none	aylesbray lodge guest house	none	none	none	guest house	none	monday	1	11:45	north american	gourmet burger kitchen	none	11:45	aylesbray lodge guest house	gourmet burger kitchen	none	none	none	none	none	none	none
PMUL0226	11	That is everything today .	Okay , I have you booked in a blue Audi .  The contact number is 07920692950 .  Can I help you with anything else ?	none	none	none	none	none	none	none	none	south	none	none	none	none	aylesbray lodge guest house	none	none	none	guest house	none	monday	1	11:45	north american	gourmet burger kitchen	none	11:45	aylesbray lodge guest house	gourmet burger kitchen	none	none	none	none	none	none	none
PMUL4706	0	I 'm looking for a train that leaves from Cambridge on Tuesday .		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	tuesday	cambridge	none	none
PMUL4706	1	I will be traveling to Leicester and would like to arrive before 21:15 .	Where will you be travelling to ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	21:15	none	tuesday	cambridge	leicester	none
PMUL4706	2	I would like to arrive by 21:15 .	When could you like to arrive by ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	21:15	none	tuesday	cambridge	leicester	none
PMUL4706	3	Yes but I need that to be booked for 3 people . I would like the reference number please . I also need a place to stay as well .	I have the TR8207 that will arrive by 21:06 . Would you like me to book that for you ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	21:15	3	tuesday	cambridge	leicester	none
PMUL4706	4	I would like a 4-star guesthouse in the north in a moderate price range .	Booking was successful , the total fee is 113.4 GBP payable at the station . Your reference number is ABKFF3SH . What type of place are you looking for ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	moderate	4	guest house	none	none	none	none	none	none	none	none	none	none	none	21:15	3	tuesday	cambridge	leicester	none
PMUL4706	5	Great can you book that for me from Sunday for 2 nights for 4 people .	Sure thing , I would suggest this one acorn guest house .	none	none	none	none	none	none	none	none	none	sunday	4	2	none	acorn guest house	none	moderate	4	guest house	none	none	none	none	none	none	none	none	none	none	none	21:15	3	tuesday	cambridge	leicester	none
PMUL1778	0	I want a train leaving from norwich .		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	norwich	none	none
PMUL1778	1	I will be traveling by train , on Friday .	When will you be traveling ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	friday	norwich	none	none
PMUL1778	2	Yes , my destination is Cambridge . I would love to arrive by 08:30 please .	Sure .  Can I just confirm that your destination is Cambridge ? And , is there a particular time frame you prefer ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	08:30	none	friday	norwich	cambridge	none
PMUL1778	3	Okay . Could you also help me with a a place to stay . I am looking for a guesthouse with 3 stars .	TR3339 is your best bet . It will arrive in Cambridge at 07:35 .	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	3	guest house	none	none	none	none	none	none	none	none	none	none	none	08:30	none	friday	norwich	cambridge	none
SSNG0212	0	Can you find me a place to say in the centre that includes free wifi ?		none	none	none	none	none	none	none	none	centre	none	none	none	yes	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SSNG0212	1	Are there any in the moderate price range ?	I can recommend the Alexander Bed and Breakfast . It is a guesthouse in the cheap price range .	none	none	none	none	none	none	none	none	centre	none	none	none	yes	none	none	moderate	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SSNG0212	2	Yes please I need a booking for 4 people and 2 nights starting from friday .	I have the Cityroomz hotel which is in the moderate range with internet and no parking .  Would you like to book this hotel ?	none	none	none	none	none	none	none	none	centre	friday	4	2	yes	none	none	moderate	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SSNG0212	3	How about a different hotel in the same price range ?	That on is not open then , shall I try another ?	none	none	none	none	none	none	none	none	centre	friday	4	2	yes	none	none	moderate	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SSNG0212	4	That will be fine .	How about the el shaddai , they have free internet and free parking ?	none	none	none	none	none	none	none	none	centre	friday	4	2	yes	none	none	moderate	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SSNG0212	5	Thank you for your help .	Great news ! Your booking was successful and I have a reference number for you . It is PL4JEQ9A .	none	none	none	none	none	none	none	none	centre	friday	4	2	yes	none	none	moderate	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SSNG0212	6	Thank you very much . I will .	You are very welcome . Please enjoy your stay .	none	none	none	none	none	none	none	none	centre	friday	4	2	yes	none	none	moderate	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
WOZ20220	0	I would like a cheap Spanish restaurant .		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	spanish	none	cheap	none	none	none	none	none	none	none	none	none	none
WOZ20220	1	Yes please	La Raza is a cheap Spanish restaurant .  Would you like their phone number or address ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	spanish	la raza	cheap	none	none	none	none	none	none	none	none	none	none
WOZ20220	2	Thank you goodbye .	La Raza 's phone number is 01223 464550 and the address is 4 - 6 Rose Crescent .  Anything else I can help you with ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	spanish	la raza	cheap	none	none	none	none	none	none	none	none	none	none
PMUL0734	0	Hi . Can you help me find a train ?		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL0734	1	I will be going to Londons Kings Crossing .	Where would you like to go to ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	london kings cross	none
PMUL0734	2	I need to leave friday after 16:15 from cambridge .	Sure , just let me get a little more information .  Where are you departing from and when did you want the booking for ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	friday	cambridge	london kings cross	16:15
PMUL0734	3	That sounds great , I 'll need 4 seats please and a reference number .	TR6628 leaves Cambridge on Friday at 17:00 and arrives by 17:51 at london kings cross , does this suit your needs ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	4	friday	cambridge	london kings cross	16:15
PMUL0734	4	Yes , please . I 'm looking for an Italian restaurant in the east . Price range does n't matter .	I 've booked that for you .  Your reference number is O4BRX03O and you 'll owe 94.4 GBP payable at the station .  Anything else I can do ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	italian	none	do not care	none	none	none	none	none	4	friday	cambridge	london kings cross	16:15
PMUL0734	5	I want to eat in the East .	What area would you like to be in ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	east	none	none	none	italian	none	do not care	none	none	none	none	none	4	friday	cambridge	london kings cross	16:15
PMUL0734	6	Not at this time but can I please get their postcode ?	Okay , there is one that matches . It 's the Pizza Hut Fen Ditton . Would you like me to make a reservation for you ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	east	none	none	none	italian	none	do not care	none	none	none	none	none	4	friday	cambridge	london kings cross	16:15
PMUL0734	7	No , that will do it . Thank you and goodbye !	Of course , the postcode is cb58wr . Is there anything else I can assist you with ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	east	none	none	none	italian	none	do not care	none	none	none	none	none	4	friday	cambridge	london kings cross	16:15
SNG1182	0	I need a taxi to take me to the lensfield hotel .		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG1182	1	I will be departing from Tang Chinese .	What is your departure site , and what time do you need the taxi ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	tang chinese	none	none	none	none	none	none	none	none
SNG1182	2	I want to leave after 05:00 please .	Great . And do you have a departure or arrival time ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	tang chinese	none	05:00	none	none	none	none	none	none
SNG1182	3	Thanks for your help . Have a great day .	Booking completed !  Booked car type  :  yellow ford  Contact number  :  07421738274	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	tang chinese	none	05:00	none	none	none	none	none	none
PMUL4218	0	I would like to take a train from Cambridge to Leicester .		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	cambridge	leicester	none
PMUL4218	1	This Thursday , and I would like to arrive by 14:00 .	Sure . I have a number of trains available . what day and time do you prefer ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	14:00	none	thursday	cambridge	leicester	none
PMUL4218	2	Yes , please make a booking for 4 people .	TR8080 arrives at 13:06 , does that work for you ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	14:00	4	thursday	cambridge	leicester	none
PMUL4218	3	I need a restaurant in centre and in the expensive prince range	Booking was successful , the total fee is 151.19 GBP payable at the station .  Reference number is : 3EF4MBB7 .	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	centre	none	none	none	none	none	expensive	none	none	none	none	14:00	4	thursday	cambridge	leicester	none
PMUL4218	4	I do n't have a preference , I just want to book a table for 4 at 11:15 on Thursday , anywhere is fine .	We have a wide variety of restaurants in the centre . Is there a particular type of food that you 'd like ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	centre	thursday	4	11:15	none	none	expensive	none	none	none	none	14:00	4	thursday	cambridge	leicester	none
PMUL4218	5	Great . Please go ahead and book it .	Ok , how about bedouin which serves African food and is in the center of town ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	centre	thursday	4	11:15	none	none	expensive	none	none	none	none	14:00	4	thursday	cambridge	leicester	none
PMUL4218	6	Thanks so much . Good bye !	Your reference number is A69RQEJA . The table will be reserved for 15 minutes .	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	centre	thursday	4	11:15	none	none	expensive	none	none	none	none	14:00	4	thursday	cambridge	leicester	none
MUL0109	0	I need information on the hotel Limehouse please .		none	none	none	none	none	none	none	none	none	none	none	none	none	limehouse	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL0109	1	Could you please tell me if free parking and internet is available at the Limehouse ?	Limehouse is a guesthouse on the north side of town .  It has a moderate price range and is 4 stars .  Would you like to book at this guesthouse ?	none	none	none	none	none	none	none	none	none	none	none	none	none	limehouse	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL0109	2	Yes but I 'm also looking for an expensive restaurant that serves British food in the area .	Yes , limehouse has both internet and parking . Would you like me to book you a room there ?	none	none	none	none	none	none	none	none	none	none	none	none	none	limehouse	none	none	none	none	north	none	none	none	british	none	expensive	none	none	none	none	none	none	none	none	none	none
MUL0109	3	Once you find a restaurant , I want to book a table for 5 people at 13:00 on tuesday . Please do n't forget my reference number .	It appears the screen is locked . Give me a moment . Let me see .	none	none	none	none	none	none	none	none	none	none	none	none	none	limehouse	none	none	none	none	north	tuesday	5	13:00	british	none	expensive	none	none	none	none	none	none	none	none	none	none
MUL0109	4	Thanks can I please have the reference number ?	I will book the Limehouse for you .	none	none	none	none	none	none	none	none	none	none	none	none	none	limehouse	none	none	none	none	north	tuesday	5	13:00	british	limehouse	expensive	none	none	none	none	none	none	none	none	none	none
MUL0109	5	Sure , I am looking for a restaurant serving british food in the expensive price range .	I 'm sorry , but I 'm experiencing some errors . Can you please restate your request ?	none	none	none	none	none	none	none	none	none	none	none	none	none	limehouse	none	none	none	none	none	tuesday	5	13:00	british	limehouse	expensive	none	none	none	none	none	none	none	none	none	none
MUL0109	6	That sounds perfect . Could you book me a table for 5 at 1300 on tuesday .	How about the Travellers Rest , in West Cambridge ?	none	none	none	none	none	none	none	none	none	none	none	none	none	limehouse	none	none	none	none	none	tuesday	5	13:00	british	travellers rest	expensive	none	none	none	none	none	none	none	none	none	none
MUL0109	7	Great ! Thank you so much .	I certainly can ! Your booking is confirmed and your reservation number is 8VQLVP78 .	none	none	none	none	none	none	none	none	none	none	none	none	none	limehouse	none	none	none	none	none	tuesday	5	13:00	british	travellers rest	expensive	none	none	none	none	none	none	none	none	none	none
MUL0109	8	Great . Thank you very much for your help . That will be all .	Is there anything else I can help you with ? Can I recommend a nearby attraction ?	none	none	none	none	none	none	none	none	none	none	none	none	none	limehouse	none	none	none	none	none	tuesday	5	13:00	british	travellers rest	expensive	none	none	none	none	none	none	none	none	none	none
SNG0266	0	I need help finding a train . It needs to be going to Cambridge and should arrive by 20:30 .		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	20:30	none	none	none	cambridge	none
SNG0266	1	I need to leave on Tuesday .  Does that one leave on Tuesday ?	There is one leaving from Londons king vross the refernce number is VURC2CKA	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	20:30	none	tuesday	none	cambridge	none
SNG0266	2	No , I need to leave from Leicester .	There is a train that leaves from birmingham new street on tuesday that arrives at cambridge at 20:23 . Shall I book this for you ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	20:30	none	tuesday	leicester	cambridge	none
SNG0266	3	I do n't care , just make sure i can be there by 20:30 .	Very well . What time would you like to leave ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	20:30	none	tuesday	leicester	cambridge	do not care
SNG0266	4	Yes I need three seats on the train please .	TR0363 departs leicester at 09:09 and arrives in cambridge at 10:54 on Tuesday . Would you like me to book that for you ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	20:30	3	tuesday	leicester	cambridge	do not care
SNG0266	5	Okay That is all I need .	Great I got you three seats on that train for a total cost of 113.40 pounds . Your reference number is BG6NO020 .	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	20:30	3	tuesday	leicester	cambridge	none
PMUL0823	0	Hi , can you help me find a train leaving Cambridge ?		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	cambridge	none	none
PMUL0823	1	I would like to go to Cambridge on Sunday .	I would be happy to help you find a train leaving Cambridge . In order to better help you , can you please let me know where you are traveling to and what day you would like to leave .	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	sunday	cambridge	cambridge	none
